entrada,saida,formato_completo
"99 para frente, 22 pra frente, 79 à direita",99F22F79R,"[99 para frente, 22 pra frente, 79 à direita → 99F22F79R]"
realize movimento de 18 direita seguido de 71 pra trás,18R71B,[realize movimento de 18 direita seguido de 71 pra trás → 18R71B]
ande 38 metros para direita,38R,[ande 38 metros para direita → 38R]
caminha 28 para atrás e 24 para direito,28B24R,[caminha 28 para atrás e 24 para direito → 28B24R]
desloque-se 70 centímetros para frente depois 65 centímetros à esquerda depois 88 centímetros adiante,70F65L88F,[desloque-se 70 centímetros para frente depois 65 centímetros à esquerda depois 88 centímetros adiante → 70F65L88F]
realize deslocamento de 67 m à direita,67R,[realize deslocamento de 67 m à direita → 67R]
"1 do lado direito, 91 à direita",1R91R,"[1 do lado direito, 91 à direita → 1R91R]"
vá 45 para esquerda e 42 para esquerda,45L42L,[vá 45 para esquerda e 42 para esquerda → 45L42L]
prossiga 25mm direita,25R,[prossiga 25mm direita → 25R]
70 centimetro na direção esquerda,70L,[70 centimetro na direção esquerda → 70L]
desloca para atrás 72 passos,72B,[desloca para atrás 72 passos → 72B]
execute movimento de 100 centimetros frente,100F,[execute movimento de 100 centimetros frente → 100F]
"primeiro 46 à frente, depois 30 à direita",46F30R,"[primeiro 46 à frente, depois 30 à direita → 46F30R]"
desloque 93 cm lado esquerdo,93L,[desloque 93 cm lado esquerdo → 93L]
ande 69 para atrás e 53 para esquerdo,69B53L,[ande 69 para atrás e 53 para esquerdo → 69B53L]
mova 40 m do lado direito,40R,[mova 40 m do lado direito → 40R]
"faça 5 centímetro para frente, depois 17 centímetro para atrás e por fim 1 centímetro trás",5F17B1B,"[faça 5 centímetro para frente, depois 17 centímetro para atrás e por fim 1 centímetro trás → 5F17B1B]"
realize deslocamento de 98 metros à frente,98F,[realize deslocamento de 98 metros à frente → 98F]
vá 38 do lado direito,38R,[vá 38 do lado direito → 38R]
"ande 91 retroceder, depois 25 para a esquerda, então 50 para direita e finalmente 29 para a direita",91B25L50R29R,"[ande 91 retroceder, depois 25 para a esquerda, então 50 para direita e finalmente 29 para a direita → 91B25L50R29R]"
"63 milímetros em direção a direito, 85 milímetros em direção a direita",63R85R,"[63 milímetros em direção a direito, 85 milímetros em direção a direita → 63R85R]"
mova 24 centímetros atrás,24B,[mova 24 centímetros atrás → 24B]
"38 na frente, 54 retroceder",38F54B,"[38 na frente, 54 retroceder → 38F54B]"
"execute sequência: 96 pra direita, 10 recuar, 36 pra frente",96R10B36F,"[execute sequência: 96 pra direita, 10 recuar, 36 pra frente → 96R10B36F]"
caminhe 58 à esquerda e depois 37 para direita,58L37R,[caminhe 58 à esquerda e depois 37 para direita → 58L37R]
"faça 67 unidades para direita, depois 43 unidades para trás e por fim 42 unidades do lado esquerdo",67R43B42L,"[faça 67 unidades para direita, depois 43 unidades para trás e por fim 42 unidades do lado esquerdo → 67R43B42L]"
100 unidades direita,100R,[100 unidades direita → 100R]
"vai 85 voltar, 81 lado esquerdo e 81 à frente",85B81L81F,"[vai 85 voltar, 81 lado esquerdo e 81 à frente → 85B81L81F]"
mova 59 centímetros pra direita,59R,[mova 59 centímetros pra direita → 59R]
mova 80 passos em frente,80F,[mova 80 passos em frente → 80F]
mova para na frente 72 cm,72F,[mova para na frente 72 cm → 72F]
faça movimento atrás de 54 centimetro,54B,[faça movimento atrás de 54 centimetro → 54B]
87 passos na direção esquerda,87L,[87 passos na direção esquerda → 87L]
desloca 37mm para a direita,37R,[desloca 37mm para a direita → 37R]
desloque-se 96 atrás e posteriormente 16 pra esquerda,96B16L,[desloque-se 96 atrás e posteriormente 16 pra esquerda → 96B16L]
movimente-se avante 84 centimetro,84F,[movimente-se avante 84 centimetro → 84F]
execute 34 retroceder após isso 82 do lado esquerdo,34B82L,[execute 34 retroceder após isso 82 do lado esquerdo → 34B82L]
desloque-se 37 trás e posteriormente 63 adiante,37B63F,[desloque-se 37 trás e posteriormente 63 adiante → 37B63F]
"move 22 para direita, 18 para esquerdo e 57 para adiante",22R18L57F,"[move 22 para direita, 18 para esquerdo e 57 para adiante → 22R18L57F]"
"primeiro 90 voltar, depois 66 lado direito",90B66R,"[primeiro 90 voltar, depois 66 lado direito → 90B66R]"
31 cm na direção frente,31F,[31 cm na direção frente → 31F]
vá 45 pra trás,45B,[vá 45 pra trás → 45B]
dirija-se 67 centimetro atrás então 45 centimetro para atrás,67B45B,[dirija-se 67 centimetro atrás então 45 centimetro para atrás → 67B45B]
"vá 89 na frente, depois 65 à direita, então 71 esquerda e finalmente 39 lado esquerdo",89F65R71L39L,"[vá 89 na frente, depois 65 à direita, então 71 esquerda e finalmente 39 lado esquerdo → 89F65R71L39L]"
"faça 77 centimetro para direita, depois 95 centimetro pra direita e por fim 69 centimetro para frente",77R95R69F,"[faça 77 centimetro para direita, depois 95 centimetro pra direita e por fim 69 centimetro para frente → 77R95R69F]"
"faça 72 passos lado direito, após isso 65 passos direita",72R65R,"[faça 72 passos lado direito, após isso 65 passos direita → 72R65R]"
"46 para a direita, 30 para direita, 77 direita, 66 lado esquerdo",46R30R77R66L,"[46 para a direita, 30 para direita, 77 direita, 66 lado esquerdo → 46R30R77R66L]"
execute movimento de 68 passos atrás,68B,[execute movimento de 68 passos atrás → 68B]
movimente 89 mm para atrás,89B,[movimente 89 mm para atrás → 89B]
mova 31 cm adiante,31F,[mova 31 cm adiante → 31F]
movimenta 88 metros em frente,88F,[movimenta 88 metros em frente → 88F]
"execute sequência: 31 à esquerda, 54 frente, 30 para direita",31L54F30R,"[execute sequência: 31 à esquerda, 54 frente, 30 para direita → 31L54F30R]"
"faça 49 mm adiante, depois 2 mm lado direito e por fim 98 mm do lado direito",49F2R98R,"[faça 49 mm adiante, depois 2 mm lado direito e por fim 98 mm do lado direito → 49F2R98R]"
caminha 89centímetros frente,89F,[caminha 89centímetros frente → 89F]
faça movimento para atrás de 41 centimetros,41B,[faça movimento para atrás de 41 centimetros → 41B]
faça movimento para frente de 7 centímetros,7F,[faça movimento para frente de 7 centímetros → 7F]
proceda 40 centimetro em frente,40F,[proceda 40 centimetro em frente → 40F]
"5 milímetros em direção a esquerda, 76 milímetros em direção a adiante",5L76F,"[5 milímetros em direção a esquerda, 76 milímetros em direção a adiante → 5L76F]"
navegue para frente 36 centímetro,36F,[navegue para frente 36 centímetro → 36F]
"faça 95 unidades do lado direito, então 19 unidades pra direita",95R19R,"[faça 95 unidades do lado direito, então 19 unidades pra direita → 95R19R]"
locomova-se 6 centimetro para direita,6R,[locomova-se 6 centimetro para direita → 6R]
desloque 30 unidades pra esquerda,30L,[desloque 30 unidades pra esquerda → 30L]
vá 34 centímetros trás,34B,[vá 34 centímetros trás → 34B]
"realize movimento triplo: 89 pra trás, 17 à esquerda, 21 à frente",89B17L21F,"[realize movimento triplo: 89 pra trás, 17 à esquerda, 21 à frente → 89B17L21F]"
mova 48 centimetro à esquerda,48L,[mova 48 centimetro à esquerda → 48L]
desloque 90 unidades lado esquerdo,90L,[desloque 90 unidades lado esquerdo → 90L]
caminha 36 m do lado esquerdo,36L,[caminha 36 m do lado esquerdo → 36L]
execute 63 na frente após isso 80 lado esquerdo,63F80L,[execute 63 na frente após isso 80 lado esquerdo → 63F80L]
execute movimento de 26 milímetros lado esquerdo,26L,[execute movimento de 26 milímetros lado esquerdo → 26L]
"25 lado direito, 59 frente, 94 à direita, 50 voltar",25R59F94R50B,"[25 lado direito, 59 frente, 94 à direita, 50 voltar → 25R59F94R50B]"
movimente 3 milímetros pra esquerda,3L,[movimente 3 milímetros pra esquerda → 3L]
prossiga 44 m pra frente e 17 m à frente,44F17F,[prossiga 44 m pra frente e 17 m à frente → 44F17F]
"move 83 pra direita, 5 avante e 60 pra trás",83R5F60B,"[move 83 pra direita, 5 avante e 60 pra trás → 83R5F60B]"
dirija-se em direção a direita 91 centimetro,91R,[dirija-se em direção a direita 91 centimetro → 91R]
vá 67 para a direita e 50 para direito,67R50R,[vá 67 para a direita e 50 para direito → 67R50R]
movimente-se 63 metros à frente,63F,[movimente-se 63 metros à frente → 63F]
desloque 79 mm lado esquerdo,79L,[desloque 79 mm lado esquerdo → 79L]
desloque 36 unidades para direita,36R,[desloque 36 unidades para direita → 36R]
"realize movimento triplo: 32 à esquerda, 94 para esquerda, 11 para a esquerda",32L94L11L,"[realize movimento triplo: 32 à esquerda, 94 para esquerda, 11 para a esquerda → 32L94L11L]"
mova 64 centimetros para direita e 16 centimetros adiante,64R16F,[mova 64 centimetros para direita e 16 centimetros adiante → 64R16F]
desloque 1 centímetro à direita,1R,[desloque 1 centímetro à direita → 1R]
realize deslocamento de 58 m do lado direito,58R,[realize deslocamento de 58 m do lado direito → 58R]
vá 25 à frente,25F,[vá 25 à frente → 25F]
prossiga 6 cm lado direito,6R,[prossiga 6 cm lado direito → 6R]
execute 19 atrás e 42 para a direita,19B42R,[execute 19 atrás e 42 para a direita → 19B42R]
execute 5 trás e 92 para a direita,5B92R,[execute 5 trás e 92 para a direita → 5B92R]
"33 milímetros em direção a voltar, 31 milímetros em direção a frente",33B31F,"[33 milímetros em direção a voltar, 31 milímetros em direção a frente → 33B31F]"
move pra frente 8 centimetros,8F,[move pra frente 8 centimetros → 8F]
77 centímetro na frente,77F,[77 centímetro na frente → 77F]
movimente 16 m recuar,16B,[movimente 16 m recuar → 16B]
proceda 5 passos pra frente,5F,[proceda 5 passos pra frente → 5F]
desloque-se 68 retroceder e posteriormente 61 à frente,68B61F,[desloque-se 68 retroceder e posteriormente 61 à frente → 68B61F]
dirija-se 98 centimetros para esquerda e 51 centimetros para a direita,98L51R,[dirija-se 98 centimetros para esquerda e 51 centimetros para a direita → 98L51R]
"sequência completa: 37 m à direita, 22 m para direita, 35 m à frente, 76 m pra trás",37R22R35F76B,"[sequência completa: 37 m à direita, 22 m para direita, 35 m à frente, 76 m pra trás → 37R22R35F76B]"
navegue na direção de a direita 65 centímetro,65R,[navegue na direção de a direita 65 centímetro → 65R]
"locomova-se 68 esquerda, depois 47 para esquerda, então 69 para a esquerda e finalmente 11 à esquerda",68L47L69L11L,"[locomova-se 68 esquerda, depois 47 para esquerda, então 69 para a esquerda e finalmente 11 à esquerda → 68L47L69L11L]"
"prossiga 97 para avante, 76 para esquerdo e 33 para recuar",97F76L33B,"[prossiga 97 para avante, 76 para esquerdo e 33 para recuar → 97F76L33B]"
realize movimento de 47 recuar seguido de 94 em frente,47B94F,[realize movimento de 47 recuar seguido de 94 em frente → 47B94F]
realize deslocamento de 2 milímetros recuar,2B,[realize deslocamento de 2 milímetros recuar → 2B]
32 centímetros lado direito,32R,[32 centímetros lado direito → 32R]
caminha 77 centímetros para direita,77R,[caminha 77 centímetros para direita → 77R]
"primeiro 89 para a esquerda, então 87 retroceder, finalmente 77 à esquerda",89L87B77L,"[primeiro 89 para a esquerda, então 87 retroceder, finalmente 77 à esquerda → 89L87B77L]"
desloque 39 centímetros pra esquerda,39L,[desloque 39 centímetros pra esquerda → 39L]
"execute 22 para trás, 19 do lado direito, 20 atrás e 67 voltar",22B19R20B67B,"[execute 22 para trás, 19 do lado direito, 20 atrás e 67 voltar → 22B19R20B67B]"
49 mm frente,49F,[49 mm frente → 49F]
desloque 66 milímetros direita,66R,[desloque 66 milímetros direita → 66R]
execute movimento de 89 centimetro frente,89F,[execute movimento de 89 centimetro frente → 89F]
desloque-se 60 passos recuar e 38 passos do lado esquerdo,60B38L,[desloque-se 60 passos recuar e 38 passos do lado esquerdo → 60B38L]
vá 81 esquerda,81L,[vá 81 esquerda → 81L]
mova 28 centímetros direita após isso 17 centímetros na frente após isso 22 centímetros retroceder,28R17F22B,[mova 28 centímetros direita após isso 17 centímetros na frente após isso 22 centímetros retroceder → 28R17F22B]
26 centímetro na direção na frente,26F,[26 centímetro na direção na frente → 26F]
faça movimento lado direito de 10 centímetros,10R,[faça movimento lado direito de 10 centímetros → 10R]
"sequência completa: 31 centimetro pra trás, 76 centimetro lado esquerdo, 46 centimetro direita, 10 centimetro em frente",31B76L46R10F,"[sequência completa: 31 centimetro pra trás, 76 centimetro lado esquerdo, 46 centimetro direita, 10 centimetro em frente → 31B76L46R10F]"
movimente-se 97 avante e depois 45 direita,97F45R,[movimente-se 97 avante e depois 45 direita → 97F45R]
movimente 95 centímetros frente,95F,[movimente 95 centímetros frente → 95F]
execute 53 recuar então 13 à direita,53B13R,[execute 53 recuar então 13 à direita → 53B13R]
"realize movimento triplo: 83 pra trás, 74 pra direita, 1 à direita",83B74R1R,"[realize movimento triplo: 83 pra trás, 74 pra direita, 1 à direita → 83B74R1R]"
realize deslocamento de 64 cm avante,64F,[realize deslocamento de 64 cm avante → 64F]
vá 4 unidades do lado direito logo após 42 unidades avante logo após 96 unidades trás,4R42F96B,[vá 4 unidades do lado direito logo após 42 unidades avante logo após 96 unidades trás → 4R42F96B]
mova 17 centimetro do lado esquerdo,17L,[mova 17 centimetro do lado esquerdo → 17L]
execute 90 frente na sequência 47 pra trás,90F47B,[execute 90 frente na sequência 47 pra trás → 90F47B]
"realize movimento triplo: 87 voltar, 82 adiante, 71 pra esquerda",87B82F71L,"[realize movimento triplo: 87 voltar, 82 adiante, 71 pra esquerda → 87B82F71L]"
faça movimento recuar de 8 centimetros,8B,[faça movimento recuar de 8 centimetros → 8B]
vá 88 para a direita,88R,[vá 88 para a direita → 88R]
desloque-se 59 em frente e depois 34 trás,59F34B,[desloque-se 59 em frente e depois 34 trás → 59F34B]
vá 21 para direito e 70 para esquerdo,21R70L,[vá 21 para direito e 70 para esquerdo → 21R70L]
"movimente 58 centimetros à frente, após isso 13 centimetros para frente",58F13F,"[movimente 58 centimetros à frente, após isso 13 centimetros para frente → 58F13F]"
realize movimento de 56 esquerda seguido de 51 em frente,56L51F,[realize movimento de 56 esquerda seguido de 51 em frente → 56L51F]
dirija-se 24mm para trás,24B,[dirija-se 24mm para trás → 24B]
proceda 94 metros para a direita,94R,[proceda 94 metros para a direita → 94R]
"execute sequência: 59 pra direita, 44 à frente, 9 do lado esquerdo",59R44F9L,"[execute sequência: 59 pra direita, 44 à frente, 9 do lado esquerdo → 59R44F9L]"
movimente 71 passos frente,71F,[movimente 71 passos frente → 71F]
64 m na direção em frente,64F,[64 m na direção em frente → 64F]
5 m pra direita,5R,[5 m pra direita → 5R]
"realize movimento triplo: 81 do lado direito, 49 para a direita, 95 pra esquerda",81R49R95L,"[realize movimento triplo: 81 do lado direito, 49 para a direita, 95 pra esquerda → 81R49R95L]"
"faça 85 centimetro lado esquerdo, e 95 centimetro à esquerda",85L95L,"[faça 85 centimetro lado esquerdo, e 95 centimetro à esquerda → 85L95L]"
"execute 84 lado esquerdo, 1 na frente, 35 do lado direito e 75 direita",84L1F35R75R,"[execute 84 lado esquerdo, 1 na frente, 35 do lado direito e 75 direita → 84L1F35R75R]"
faça movimento do lado direito de 23 centímetro,23R,[faça movimento do lado direito de 23 centímetro → 23R]
mova 21 m para a esquerda,21L,[mova 21 m para a esquerda → 21L]
"faça 25 unidades atrás, depois 35 unidades pra trás e por fim 40 unidades para direita",25B35B40R,"[faça 25 unidades atrás, depois 35 unidades pra trás e por fim 40 unidades para direita → 25B35B40R]"
avance adiante 53 m,53F,[avance adiante 53 m → 53F]
"31 para direita, 73 à esquerda",31R73L,"[31 para direita, 73 à esquerda → 31R73L]"
17 milímetros trás,17B,[17 milímetros trás → 17B]
